"Steps"	"weightUpdate"	"Level"	"PotentialEnergy"	"1 Weight"	"0.75 Weight"	"0.5 Weight"	"0.3 Weight"	"0.1 Weight"	"0.05 Weight"	"0.01 Weight"	"0.005 Weight"	"0.001 Weight"	"0 Weight"
2899000	0.015625	0	-12416.9	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.67188
2900000	0.015625	0	-12402.3	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.6875
2901000	0.015625	0	-12454.6	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.70312
2902000	0.015625	0	-12495	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.70312
2903000	0.015625	0	-12458.3	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.71875
2904000	0.015625	0	-12403.3	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.73438
2905000	0.015625	0	-12379.7	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.73438
2906000	0.015625	0	-12405.4	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.75
2907000	0.015625	0	-12378.1	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.76562
2908000	0.015625	0	-12390.6	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.76562
2909000	0.015625	0	-12129.8	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.78125
2910000	0.015625	0	-12288.6	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.79688
2911000	0.015625	0	-12455.4	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.79688
2912000	0.015625	0	-12418.1	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.8125
